soc,physical_level,MET,E_human_J_per_h
49-2096,3.96,3.642,1066668.96
49-2097,4.19,3.83175,1122242.9400000002
49-2098,4.01,3.6832499999999997,1078750.26
49-3011,3.44,3.2129999999999996,941023.4399999998
49-3021,2.83,2.70975,793631.5800000001
49-3022,2.05,2.0662499999999997,605163.2999999999
49-3023,3.65,3.38625,991764.9
49-3031,3.6,3.3449999999999998,979683.5999999999
49-3041,3.81,3.5182499999999997,1030425.0599999999
49-3042,3.44,3.2129999999999996,941023.4399999998
49-3043,2.15,2.1487499999999997,629325.8999999999
49-3051,2.97,2.82525,827459.2200000001
49-3052,3.77,3.4852499999999997,1020760.0199999999
49-3053,3.71,3.4357499999999996,1006262.4599999998
49-3091,2.89,2.7592499999999998,808129.1399999999
49-3092,2.67,2.57775,754971.4199999999
49-3093,2.57,2.49525,730808.82
49-9011,2.12,2.1239999999999997,622077.1199999999
49-9012,3.52,3.279,960353.52
49-9021,2.72,2.619,767052.7200000001
49-9031,2.93,2.79225,817794.18
49-9041,3.42,3.1965,936190.9199999999
49-9043,3.03,2.8747499999999997,841956.7799999999
49-9044,2.76,2.6519999999999997,776717.7599999999
49-9045,1.71,1.78575,523010.45999999996
49-9051,2.05,2.0662499999999997,605163.2999999999
49-9052,3.88,3.5759999999999996,1047338.8799999999
49-9061,3.57,3.3202499999999997,972434.82
49-9062,3.78,3.4934999999999996,1023176.2799999998
49-9063,2.73,2.62725,769468.98
49-9064,2.1,2.1075,617244.6
49-9071,3.43,3.2047499999999998,938607.1799999999
49-9081,3.89,3.58425,1049755.1400000001
